Hidden Layers,Activation,Epochs,Learning Rate,Batch Size,Accuracy
"[16, 16]",Sigmoid,25,0.1,16,1.0
"[16, 16]",Sigmoid,25,0.1,32,1.0
"[16, 16]",Sigmoid,25,0.1,64,1.0
"[16, 16]",Sigmoid,25,0.1,128,1.0
"[16, 16]",Sigmoid,25,0.1,256,0.9666666666666667
"[16, 16]",Sigmoid,25,0.1,512,1.0
"[16, 16]",Sigmoid,25,0.01,16,1.0
"[16, 16]",Sigmoid,25,0.01,32,1.0
"[16, 16]",Sigmoid,25,0.01,64,0.9333333333333333
"[16, 16]",Sigmoid,25,0.01,128,0.7666666666666667
"[16, 16]",Sigmoid,25,0.01,256,0.6666666666666666
"[16, 16]",Sigmoid,25,0.01,512,0.9333333333333333
"[16, 16]",Sigmoid,25,0.001,16,0.7333333333333333
"[16, 16]",Sigmoid,25,0.001,32,0.7333333333333333
"[16, 16]",Sigmoid,25,0.001,64,0.6666666666666666
"[16, 16]",Sigmoid,25,0.001,128,0.5666666666666667
"[16, 16]",Sigmoid,25,0.001,256,0.3333333333333333
"[16, 16]",Sigmoid,25,0.001,512,0.5666666666666667
"[16, 16]",Sigmoid,25,0.0001,16,0.6666666666666666
"[16, 16]",Sigmoid,25,0.0001,32,0.3333333333333333
"[16, 16]",Sigmoid,25,0.0001,64,0.3333333333333333
"[16, 16]",Sigmoid,25,0.0001,128,0.3333333333333333
"[16, 16]",Sigmoid,25,0.0001,256,0.3333333333333333
"[16, 16]",Sigmoid,25,0.0001,512,0.3333333333333333
"[16, 16]",Sigmoid,50,10.0,16,0.6666666666666666
"[16, 16]",Sigmoid,50,10.0,32,0.3333333333333333
"[16, 16]",Sigmoid,50,10.0,64,0.3333333333333333
"[16, 16]",Sigmoid,50,10.0,128,0.3333333333333333
"[16, 16]",Sigmoid,50,10.0,256,0.3333333333333333
"[16, 16]",Sigmoid,50,10.0,512,0.3333333333333333
"[16, 16]",Sigmoid,50,1.0,16,0.3333333333333333
"[16, 16]",Sigmoid,50,1.0,32,1.0
"[16, 16]",Sigmoid,50,1.0,64,0.3333333333333333
"[16, 16]",Sigmoid,50,1.0,128,1.0
"[16, 16]",Sigmoid,50,1.0,256,0.3333333333333333
"[16, 16]",Sigmoid,50,1.0,512,0.6666666666666666
"[16, 16]",Sigmoid,50,0.1,16,1.0
"[16, 16]",Sigmoid,50,0.1,32,1.0
"[16, 16]",Sigmoid,50,0.1,64,1.0
"[16, 16]",Sigmoid,50,0.1,128,1.0
"[16, 16]",Sigmoid,50,0.1,256,1.0
"[16, 16]",Sigmoid,50,0.1,512,1.0
"[16, 16]",Sigmoid,50,0.01,16,1.0
"[16, 16]",Sigmoid,50,0.01,32,1.0
"[16, 16]",Sigmoid,50,0.01,64,1.0
"[16, 16]",Sigmoid,50,0.01,128,0.9333333333333333
"[16, 16]",Sigmoid,50,0.01,256,0.9666666666666667
"[16, 16]",Sigmoid,50,0.01,512,0.9666666666666667
"[16, 16]",Sigmoid,50,0.001,16,0.9333333333333333
"[16, 16]",Sigmoid,50,0.001,32,0.8
"[16, 16]",Sigmoid,50,0.001,64,0.7333333333333333
"[16, 16]",Sigmoid,50,0.001,128,0.6666666666666666
"[16, 16]",Sigmoid,50,0.001,256,0.6666666666666666
"[16, 16]",Sigmoid,50,0.001,512,0.6666666666666666
"[16, 16]",Sigmoid,50,0.0001,16,0.3333333333333333
"[16, 16]",Sigmoid,50,0.0001,32,0.3333333333333333
"[16, 16]",Sigmoid,50,0.0001,64,0.3333333333333333
"[16, 16]",Sigmoid,50,0.0001,128,0.3333333333333333
"[16, 16]",Sigmoid,50,0.0001,256,0.3333333333333333
"[16, 16]",Sigmoid,50,0.0001,512,0.36666666666666664
"[16, 16]",Sigmoid,100,10.0,16,0.6666666666666666
"[16, 16]",Sigmoid,100,10.0,32,0.3333333333333333
"[16, 16]",Sigmoid,100,10.0,64,0.6666666666666666
"[16, 16]",Sigmoid,100,10.0,128,0.6666666666666666
"[16, 16]",Sigmoid,100,10.0,256,0.3333333333333333
"[16, 16]",Sigmoid,100,10.0,512,0.6666666666666666
"[16, 16]",Sigmoid,100,1.0,16,0.9666666666666667
"[16, 16]",Sigmoid,100,1.0,32,0.3333333333333333
"[16, 16]",Sigmoid,100,1.0,64,0.3333333333333333
"[16, 16]",Sigmoid,100,1.0,128,0.6666666666666666
"[16, 16]",Sigmoid,100,1.0,256,0.6666666666666666
"[16, 16]",Sigmoid,100,1.0,512,0.6666666666666666
"[16, 16]",Sigmoid,100,0.1,16,1.0
"[16, 16]",Sigmoid,100,0.1,32,1.0
"[16, 16]",Sigmoid,100,0.1,64,1.0
"[16, 16]",Sigmoid,100,0.1,128,1.0
"[16, 16]",Sigmoid,100,0.1,256,1.0
"[16, 16]",Sigmoid,100,0.1,512,1.0
"[16, 16]",Sigmoid,100,0.01,16,1.0
"[16, 16]",Sigmoid,100,0.01,32,1.0
"[16, 16]",Sigmoid,100,0.01,64,1.0
"[16, 16]",Sigmoid,100,0.01,128,1.0
"[16, 16]",Sigmoid,100,0.01,256,1.0
"[16, 16]",Sigmoid,100,0.01,512,1.0
"[16, 16]",Sigmoid,100,0.001,16,0.9666666666666667
"[16, 16]",Sigmoid,100,0.001,32,0.9666666666666667
"[16, 16]",Sigmoid,100,0.001,64,0.7666666666666667
"[16, 16]",Sigmoid,100,0.001,128,1.0
"[16, 16]",Sigmoid,100,0.001,256,0.6666666666666666
"[16, 16]",Sigmoid,100,0.001,512,0.8666666666666667
"[16, 16]",Sigmoid,100,0.0001,16,0.7333333333333333
"[16, 16]",Sigmoid,100,0.0001,32,0.6666666666666666
"[16, 16]",Sigmoid,100,0.0001,64,0.3333333333333333
"[16, 16]",Sigmoid,100,0.0001,128,0.5333333333333333
"[16, 16]",Sigmoid,100,0.0001,256,0.3333333333333333
"[16, 16]",Sigmoid,100,0.0001,512,0.3333333333333333
"[16, 16]",Sigmoid,250,10.0,16,0.3333333333333333
"[16, 16]",Sigmoid,250,10.0,32,0.8
"[16, 16]",Sigmoid,250,10.0,64,0.3333333333333333
"[16, 16]",Sigmoid,250,10.0,128,0.3333333333333333
"[16, 16]",Sigmoid,250,10.0,256,0.3333333333333333
"[16, 16]",Sigmoid,250,10.0,512,0.7666666666666667
"[16, 16]",Sigmoid,250,1.0,16,0.6666666666666666
"[16, 16]",Sigmoid,250,1.0,32,0.3333333333333333
"[16, 16]",Sigmoid,250,1.0,64,1.0
"[16, 16]",Sigmoid,250,1.0,128,0.7333333333333333
"[16, 16]",Sigmoid,250,1.0,256,0.6333333333333333
"[16, 16]",Sigmoid,250,1.0,512,0.6666666666666666
"[16, 16]",Sigmoid,250,0.1,16,1.0
"[16, 16]",Sigmoid,250,0.1,32,1.0
"[16, 16]",Sigmoid,250,0.1,64,1.0
"[16, 16]",Sigmoid,250,0.1,128,1.0
"[16, 16]",Sigmoid,250,0.1,256,1.0
"[16, 16]",Sigmoid,250,0.1,512,1.0
"[16, 16]",Sigmoid,250,0.01,16,1.0
"[16, 16]",Sigmoid,250,0.01,32,1.0
"[16, 16]",Sigmoid,250,0.01,64,1.0
"[16, 16]",Sigmoid,250,0.01,128,1.0
"[16, 16]",Sigmoid,250,0.01,256,1.0
"[16, 16]",Sigmoid,250,0.01,512,1.0
"[16, 16]",Sigmoid,250,0.001,16,1.0
"[16, 16]",Sigmoid,250,0.001,32,1.0
"[16, 16]",Sigmoid,250,0.001,64,0.9666666666666667
"[16, 16]",Sigmoid,250,0.001,128,0.9333333333333333
"[16, 16]",Sigmoid,250,0.001,256,0.9333333333333333
"[16, 16]",Sigmoid,250,0.001,512,0.9666666666666667
"[16, 16]",Sigmoid,250,0.0001,16,0.7666666666666667
"[16, 16]",Sigmoid,250,0.0001,32,0.8
"[16, 16]",Sigmoid,250,0.0001,64,0.6666666666666666
"[16, 16]",Sigmoid,250,0.0001,128,0.3333333333333333
"[16, 16]",Sigmoid,250,0.0001,256,0.3333333333333333
"[16, 16]",Sigmoid,250,0.0001,512,0.3333333333333333
"[16, 16]",ReLU,1,10.0,16,0.6666666666666666
"[16, 16]",ReLU,1,10.0,32,0.4
"[16, 16]",ReLU,1,10.0,64,0.3333333333333333
"[16, 16]",ReLU,1,10.0,128,0.3333333333333333
"[16, 16]",ReLU,1,10.0,256,0.0
"[16, 16]",ReLU,1,10.0,512,0.3333333333333333
"[16, 16]",ReLU,1,1.0,16,0.26666666666666666
"[16, 16]",ReLU,1,1.0,32,0.3333333333333333
"[16, 16]",ReLU,1,1.0,64,0.3333333333333333
"[16, 16]",ReLU,1,1.0,128,0.3333333333333333
"[16, 16]",ReLU,1,1.0,256,0.6666666666666666
"[16, 16]",ReLU,1,1.0,512,0.43333333333333335
"[16, 16]",ReLU,1,0.1,16,0.9666666666666667
"[16, 16]",ReLU,1,0.1,32,0.8666666666666667
"[16, 16]",ReLU,1,0.1,64,0.7
"[16, 16]",ReLU,1,0.1,128,0.6666666666666666
"[16, 16]",ReLU,1,0.1,256,0.7
"[16, 16]",ReLU,1,0.1,512,0.6333333333333333
"[16, 16]",ReLU,1,0.01,16,0.7666666666666667
"[16, 16]",ReLU,1,0.01,32,0.43333333333333335
"[16, 16]",ReLU,1,0.01,64,0.4
"[16, 16]",ReLU,1,0.01,128,0.13333333333333333
"[16, 16]",ReLU,1,0.01,256,0.4
"[16, 16]",ReLU,1,0.01,512,0.43333333333333335
"[16, 16]",ReLU,1,0.001,16,0.3333333333333333
"[16, 16]",ReLU,1,0.001,32,0.26666666666666666
"[16, 16]",ReLU,1,0.001,64,0.3333333333333333
"[16, 16]",ReLU,1,0.001,128,0.3
"[16, 16]",ReLU,1,0.001,256,0.36666666666666664
"[16, 16]",ReLU,1,0.001,512,0.3333333333333333
"[16, 16]",ReLU,1,0.0001,16,0.3333333333333333
"[16, 16]",ReLU,1,0.0001,32,0.3333333333333333
"[16, 16]",ReLU,1,0.0001,64,0.3333333333333333
"[16, 16]",ReLU,1,0.0001,128,0.3333333333333333
"[16, 16]",ReLU,1,0.0001,256,0.4666666666666667
"[16, 16]",ReLU,1,0.0001,512,0.3333333333333333
"[16, 16]",ReLU,10,10.0,16,0.7
"[16, 16]",ReLU,10,10.0,32,1.0
"[16, 16]",ReLU,10,10.0,64,0.7666666666666667
"[16, 16]",ReLU,10,10.0,128,0.9666666666666667
"[16, 16]",ReLU,10,10.0,256,0.9666666666666667
"[16, 16]",ReLU,10,10.0,512,0.7
"[16, 16]",ReLU,10,1.0,16,1.0
"[16, 16]",ReLU,10,1.0,32,0.9666666666666667
"[16, 16]",ReLU,10,1.0,64,0.6666666666666666
"[16, 16]",ReLU,10,1.0,128,0.9333333333333333
"[16, 16]",ReLU,10,1.0,256,0.9666666666666667
"[16, 16]",ReLU,10,1.0,512,0.6666666666666666
"[16, 16]",ReLU,10,0.1,16,1.0
"[16, 16]",ReLU,10,0.1,32,1.0
"[16, 16]",ReLU,10,0.1,64,0.9666666666666667
"[16, 16]",ReLU,10,0.1,128,1.0
"[16, 16]",ReLU,10,0.1,256,1.0
"[16, 16]",ReLU,10,0.1,512,1.0
"[16, 16]",ReLU,10,0.01,16,1.0
"[16, 16]",ReLU,10,0.01,32,0.9666666666666667
"[16, 16]",ReLU,10,0.01,64,0.7666666666666667
"[16, 16]",ReLU,10,0.01,128,0.7666666666666667
"[16, 16]",ReLU,10,0.01,256,0.8
"[16, 16]",ReLU,10,0.01,512,0.8333333333333334
"[16, 16]",ReLU,10,0.001,16,0.7666666666666667
"[16, 16]",ReLU,10,0.001,32,0.7666666666666667
"[16, 16]",ReLU,10,0.001,64,0.6666666666666666
"[16, 16]",ReLU,10,0.001,128,0.3333333333333333
"[16, 16]",ReLU,10,0.001,256,0.4
"[16, 16]",ReLU,10,0.001,512,0.5333333333333333
"[16, 16]",ReLU,10,0.0001,16,0.3333333333333333
"[16, 16]",ReLU,10,0.0001,32,0.36666666666666664
"[16, 16]",ReLU,10,0.0001,64,0.6666666666666666
"[16, 16]",ReLU,10,0.0001,128,0.13333333333333333
"[16, 16]",ReLU,10,0.0001,256,0.3333333333333333
"[16, 16]",ReLU,10,0.0001,512,0.3333333333333333
"[16, 16]",ReLU,25,10.0,16,0.6666666666666666
"[16, 16]",ReLU,25,10.0,32,0.3333333333333333
"[16, 16]",ReLU,25,10.0,64,0.6666666666666666
"[16, 16]",ReLU,25,10.0,128,0.6666666666666666
"[16, 16]",ReLU,25,10.0,256,0.9666666666666667
"[16, 16]",ReLU,25,10.0,512,0.9666666666666667
"[16, 16]",ReLU,25,1.0,16,0.6666666666666666
"[16, 16]",ReLU,25,1.0,32,0.6666666666666666
"[16, 16]",ReLU,25,1.0,64,0.6666666666666666
"[16, 16]",ReLU,25,1.0,128,0.8666666666666667
"[16, 16]",ReLU,25,1.0,256,0.9666666666666667
"[16, 16]",ReLU,25,1.0,512,0.9666666666666667
"[16, 16]",ReLU,25,0.1,16,1.0
"[16, 16]",ReLU,25,0.1,32,1.0
"[16, 16]",ReLU,25,0.1,64,1.0
"[16, 16]",ReLU,25,0.1,128,1.0
"[16, 16]",ReLU,25,0.1,256,1.0
"[16, 16]",ReLU,25,0.1,512,1.0
"[16, 16]",ReLU,25,0.01,16,1.0
"[16, 16]",ReLU,25,0.01,32,1.0
"[16, 16]",ReLU,25,0.01,64,0.9666666666666667
"[16, 16]",ReLU,25,0.01,128,0.9666666666666667
"[16, 16]",ReLU,25,0.01,256,0.9666666666666667
"[16, 16]",ReLU,25,0.01,512,0.9666666666666667
"[16, 16]",ReLU,25,0.001,16,0.9666666666666667
"[16, 16]",ReLU,25,0.001,32,0.9333333333333333
"[16, 16]",ReLU,25,0.001,64,0.3333333333333333
"[16, 16]",ReLU,25,0.001,128,0.7
"[16, 16]",ReLU,25,0.001,256,0.9
"[16, 16]",ReLU,25,0.001,512,0.3
"[16, 16]",ReLU,25,0.0001,16,0.5333333333333333
"[16, 16]",ReLU,25,0.0001,32,0.9
"[16, 16]",ReLU,25,0.0001,64,0.3333333333333333
"[16, 16]",ReLU,25,0.0001,128,0.3333333333333333
"[16, 16]",ReLU,25,0.0001,256,0.3333333333333333
"[16, 16]",ReLU,25,0.0001,512,0.3333333333333333
"[16, 16]",ReLU,50,10.0,16,0.9666666666666667
"[16, 16]",ReLU,50,10.0,32,0.6666666666666666
"[16, 16]",ReLU,50,10.0,64,0.6666666666666666
"[16, 16]",ReLU,50,10.0,128,0.6333333333333333
"[16, 16]",ReLU,50,10.0,256,0.9
"[16, 16]",ReLU,50,10.0,512,0.7
"[16, 16]",ReLU,50,1.0,16,0.6666666666666666
"[16, 16]",ReLU,50,1.0,32,0.6666666666666666
"[16, 16]",ReLU,50,1.0,64,0.9666666666666667
"[16, 16]",ReLU,50,1.0,128,1.0
"[16, 16]",ReLU,50,1.0,256,0.6666666666666666
"[16, 16]",ReLU,50,1.0,512,0.9666666666666667
"[16, 16]",ReLU,50,0.1,16,1.0
"[16, 16]",ReLU,50,0.1,32,1.0
"[16, 16]",ReLU,50,0.1,64,1.0
"[16, 16]",ReLU,50,0.1,128,1.0
"[16, 16]",ReLU,50,0.1,256,1.0
"[16, 16]",ReLU,50,0.1,512,1.0
"[16, 16]",ReLU,50,0.01,16,1.0
"[16, 16]",ReLU,50,0.01,32,1.0
"[16, 16]",ReLU,50,0.01,64,1.0
"[16, 16]",ReLU,50,0.01,128,1.0
"[16, 16]",ReLU,50,0.01,256,1.0
"[16, 16]",ReLU,50,0.01,512,1.0
"[16, 16]",ReLU,50,0.001,16,0.9666666666666667
"[16, 16]",ReLU,50,0.001,32,0.9666666666666667
"[16, 16]",ReLU,50,0.001,64,0.8
"[16, 16]",ReLU,50,0.001,128,0.7666666666666667
"[16, 16]",ReLU,50,0.001,256,0.9333333333333333
"[16, 16]",ReLU,50,0.001,512,0.8666666666666667
"[16, 16]",ReLU,50,0.0001,16,0.7333333333333333
"[16, 16]",ReLU,50,0.0001,32,0.6
"[16, 16]",ReLU,50,0.0001,64,0.4
"[16, 16]",ReLU,50,0.0001,128,0.9333333333333333
"[16, 16]",ReLU,50,0.0001,256,0.3333333333333333
"[16, 16]",ReLU,50,0.0001,512,0.3333333333333333
"[16, 16]",ReLU,100,10.0,16,0.6666666666666666
"[16, 16]",ReLU,100,10.0,32,1.0
"[16, 16]",ReLU,100,10.0,64,0.6666666666666666
"[16, 16]",ReLU,100,10.0,128,1.0
"[16, 16]",ReLU,100,10.0,256,1.0
"[16, 16]",ReLU,100,10.0,512,1.0
"[16, 16]",ReLU,100,1.0,16,0.6666666666666666
"[16, 16]",ReLU,100,1.0,32,0.6333333333333333
"[16, 16]",ReLU,100,1.0,64,0.6666666666666666
"[16, 16]",ReLU,100,1.0,128,0.8666666666666667
"[16, 16]",ReLU,100,1.0,256,0.6333333333333333
"[16, 16]",ReLU,100,1.0,512,1.0
"[16, 16]",ReLU,100,0.1,16,1.0
"[16, 16]",ReLU,100,0.1,32,1.0
"[16, 16]",ReLU,100,0.1,64,1.0
"[16, 16]",ReLU,100,0.1,128,1.0
"[16, 16]",ReLU,100,0.1,256,1.0
"[16, 16]",ReLU,100,0.1,512,1.0
"[16, 16]",ReLU,100,0.01,16,1.0
"[16, 16]",ReLU,100,0.01,32,1.0
"[16, 16]",ReLU,100,0.01,64,1.0
"[16, 16]",ReLU,100,0.01,128,1.0
"[16, 16]",ReLU,100,0.01,256,1.0
"[16, 16]",ReLU,100,0.01,512,1.0
"[16, 16]",ReLU,100,0.001,16,1.0
"[16, 16]",ReLU,100,0.001,32,1.0
"[16, 16]",ReLU,100,0.001,64,1.0
"[16, 16]",ReLU,100,0.001,128,0.7666666666666667
"[16, 16]",ReLU,100,0.001,256,0.9
"[16, 16]",ReLU,100,0.001,512,0.8333333333333334
"[16, 16]",ReLU,100,0.0001,16,0.6666666666666666
"[16, 16]",ReLU,100,0.0001,32,0.6666666666666666
"[16, 16]",ReLU,100,0.0001,64,0.6666666666666666
"[16, 16]",ReLU,100,0.0001,128,0.4
"[16, 16]",ReLU,100,0.0001,256,0.3333333333333333
"[16, 16]",ReLU,100,0.0001,512,0.6666666666666666
"[16, 16]",ReLU,250,10.0,16,0.6666666666666666
"[16, 16]",ReLU,250,10.0,32,0.6333333333333333
"[16, 16]",ReLU,250,10.0,64,0.6666666666666666
"[16, 16]",ReLU,250,10.0,128,0.8666666666666667
"[16, 16]",ReLU,250,10.0,256,0.3333333333333333
"[16, 16]",ReLU,250,10.0,512,0.9666666666666667
"[16, 16]",ReLU,250,1.0,16,0.6666666666666666
"[16, 16]",ReLU,250,1.0,32,0.6666666666666666
"[16, 16]",ReLU,250,1.0,64,0.9666666666666667
"[16, 16]",ReLU,250,1.0,128,0.6666666666666666
"[16, 16]",ReLU,250,1.0,256,0.9666666666666667
"[16, 16]",ReLU,250,1.0,512,0.9666666666666667
"[16, 16]",ReLU,250,0.1,16,1.0
"[16, 16]",ReLU,250,0.1,32,1.0
"[16, 16]",ReLU,250,0.1,64,1.0
"[16, 16]",ReLU,250,0.1,128,1.0
"[16, 16]",ReLU,250,0.1,256,1.0
"[16, 16]",ReLU,250,0.1,512,1.0
"[16, 16]",ReLU,250,0.01,16,1.0
"[16, 16]",ReLU,250,0.01,32,1.0
"[16, 16]",ReLU,250,0.01,64,1.0
"[16, 16]",ReLU,250,0.01,128,1.0
"[16, 16]",ReLU,250,0.01,256,1.0
"[16, 16]",ReLU,250,0.01,512,1.0
"[16, 16]",ReLU,250,0.001,16,1.0
"[16, 16]",ReLU,250,0.001,32,1.0
"[16, 16]",ReLU,250,0.001,64,1.0
"[16, 16]",ReLU,250,0.001,128,1.0
"[16, 16]",ReLU,250,0.001,256,1.0
"[16, 16]",ReLU,250,0.001,512,1.0
"[16, 16]",ReLU,250,0.0001,16,0.9666666666666667
"[16, 16]",ReLU,250,0.0001,32,0.8666666666666667
"[16, 16]",ReLU,250,0.0001,64,0.6666666666666666
"[16, 16]",ReLU,250,0.0001,128,0.7333333333333333
"[16, 16]",ReLU,250,0.0001,256,0.7
"[16, 16]",ReLU,250,0.0001,512,0.8333333333333334
"[16, 16]",Tanh,1,10.0,16,0.6666666666666666
"[16, 16]",Tanh,1,10.0,32,0.8
"[16, 16]",Tanh,1,10.0,64,0.6
"[16, 16]",Tanh,1,10.0,128,0.4
"[16, 16]",Tanh,1,10.0,256,0.4666666666666667
"[16, 16]",Tanh,1,10.0,512,0.3333333333333333
"[16, 16]",Tanh,1,1.0,16,0.8666666666666667
"[16, 16]",Tanh,1,1.0,32,0.8666666666666667
"[16, 16]",Tanh,1,1.0,64,0.6666666666666666
"[16, 16]",Tanh,1,1.0,128,0.7
"[16, 16]",Tanh,1,1.0,256,0.9
"[16, 16]",Tanh,1,1.0,512,0.23333333333333334
"[16, 16]",Tanh,1,0.1,16,0.9666666666666667
"[16, 16]",Tanh,1,0.1,32,0.9
"[16, 16]",Tanh,1,0.1,64,0.8333333333333334
"[16, 16]",Tanh,1,0.1,128,0.8666666666666667
"[16, 16]",Tanh,1,0.1,256,0.7333333333333333
"[16, 16]",Tanh,1,0.1,512,0.8666666666666667
"[16, 16]",Tanh,1,0.01,16,0.9333333333333333
"[16, 16]",Tanh,1,0.01,32,0.8
"[16, 16]",Tanh,1,0.01,64,0.7666666666666667
"[16, 16]",Tanh,1,0.01,128,0.7333333333333333
"[16, 16]",Tanh,1,0.01,256,0.5666666666666667
"[16, 16]",Tanh,1,0.01,512,0.6666666666666666
"[16, 16]",Tanh,1,0.001,16,0.23333333333333334
"[16, 16]",Tanh,1,0.001,32,0.4666666666666667
"[16, 16]",Tanh,1,0.001,64,0.3333333333333333
"[16, 16]",Tanh,1,0.001,128,0.6333333333333333
"[16, 16]",Tanh,1,0.001,256,0.0
"[16, 16]",Tanh,1,0.001,512,0.4
"[16, 16]",Tanh,1,0.0001,16,0.3
"[16, 16]",Tanh,1,0.0001,32,0.3333333333333333
"[16, 16]",Tanh,1,0.0001,64,0.26666666666666666
"[16, 16]",Tanh,1,0.0001,128,0.3333333333333333
"[16, 16]",Tanh,1,0.0001,256,0.0
"[16, 16]",Tanh,1,0.0001,512,0.26666666666666666
"[16, 16]",Tanh,10,10.0,16,0.9333333333333333
"[16, 16]",Tanh,10,10.0,32,0.6666666666666666
"[16, 16]",Tanh,10,10.0,64,0.8333333333333334
"[16, 16]",Tanh,10,10.0,128,0.9666666666666667
"[16, 16]",Tanh,10,10.0,256,0.6666666666666666
"[16, 16]",Tanh,10,10.0,512,0.8666666666666667
"[16, 16]",Tanh,10,1.0,16,0.6666666666666666
"[16, 16]",Tanh,10,1.0,32,1.0
"[16, 16]",Tanh,10,1.0,64,0.6666666666666666
"[16, 16]",Tanh,10,1.0,128,1.0
"[16, 16]",Tanh,10,1.0,256,0.9666666666666667
"[16, 16]",Tanh,10,1.0,512,0.9333333333333333
"[16, 16]",Tanh,10,0.1,16,1.0
"[16, 16]",Tanh,10,0.1,32,1.0
"[16, 16]",Tanh,10,0.1,64,1.0
"[16, 16]",Tanh,10,0.1,128,1.0
"[16, 16]",Tanh,10,0.1,256,1.0
"[16, 16]",Tanh,10,0.1,512,1.0
"[16, 16]",Tanh,10,0.01,16,1.0
"[16, 16]",Tanh,10,0.01,32,1.0
"[16, 16]",Tanh,10,0.01,64,0.9666666666666667
"[16, 16]",Tanh,10,0.01,128,0.9
"[16, 16]",Tanh,10,0.01,256,0.7666666666666667
"[16, 16]",Tanh,10,0.01,512,0.9
"[16, 16]",Tanh,10,0.001,16,0.9666666666666667
"[16, 16]",Tanh,10,0.001,32,0.6666666666666666
"[16, 16]",Tanh,10,0.001,64,0.7
"[16, 16]",Tanh,10,0.001,128,0.2
"[16, 16]",Tanh,10,0.001,256,0.36666666666666664
"[16, 16]",Tanh,10,0.001,512,0.6
"[16, 16]",Tanh,10,0.0001,16,0.5666666666666667
"[16, 16]",Tanh,10,0.0001,32,0.3333333333333333
"[16, 16]",Tanh,10,0.0001,64,0.3333333333333333
"[16, 16]",Tanh,10,0.0001,128,0.2
"[16, 16]",Tanh,10,0.0001,256,0.23333333333333334
"[16, 16]",Tanh,10,0.0001,512,0.0
"[16, 16]",Tanh,25,10.0,16,0.7666666666666667
"[16, 16]",Tanh,25,10.0,32,0.6
"[16, 16]",Tanh,25,10.0,64,0.8666666666666667
"[16, 16]",Tanh,25,10.0,128,0.9666666666666667
"[16, 16]",Tanh,25,10.0,256,0.6666666666666666
"[16, 16]",Tanh,25,10.0,512,0.9
"[16, 16]",Tanh,25,1.0,16,0.6333333333333333
"[16, 16]",Tanh,25,1.0,32,0.9666666666666667
"[16, 16]",Tanh,25,1.0,64,0.7333333333333333
"[16, 16]",Tanh,25,1.0,128,1.0
"[16, 16]",Tanh,25,1.0,256,1.0
"[16, 16]",Tanh,25,1.0,512,0.9666666666666667
"[16, 16]",Tanh,25,0.1,16,1.0
"[16, 16]",Tanh,25,0.1,32,1.0
"[16, 16]",Tanh,25,0.1,64,0.9666666666666667
"[16, 16]",Tanh,25,0.1,128,1.0
"[16, 16]",Tanh,25,0.1,256,1.0
"[16, 16]",Tanh,25,0.1,512,1.0
"[16, 16]",Tanh,25,0.01,16,1.0
"[16, 16]",Tanh,25,0.01,32,1.0
"[16, 16]",Tanh,25,0.01,64,1.0
"[16, 16]",Tanh,25,0.01,128,1.0
"[16, 16]",Tanh,25,0.01,256,0.9666666666666667
"[16, 16]",Tanh,25,0.01,512,0.9666666666666667
"[16, 16]",Tanh,25,0.001,16,0.9333333333333333
"[16, 16]",Tanh,25,0.001,32,0.8
"[16, 16]",Tanh,25,0.001,64,0.7333333333333333
"[16, 16]",Tanh,25,0.001,128,0.7333333333333333
"[16, 16]",Tanh,25,0.001,256,0.7333333333333333
"[16, 16]",Tanh,25,0.001,512,0.4666666666666667
"[16, 16]",Tanh,25,0.0001,16,0.5
"[16, 16]",Tanh,25,0.0001,32,0.9333333333333333
"[16, 16]",Tanh,25,0.0001,64,0.6666666666666666
"[16, 16]",Tanh,25,0.0001,128,0.26666666666666666
"[16, 16]",Tanh,25,0.0001,256,0.4
"[16, 16]",Tanh,25,0.0001,512,0.3333333333333333
"[16, 16]",Tanh,50,10.0,16,0.8666666666666667
"[16, 16]",Tanh,50,10.0,32,0.6333333333333333
"[16, 16]",Tanh,50,10.0,64,0.7
"[16, 16]",Tanh,50,10.0,128,0.8666666666666667
"[16, 16]",Tanh,50,10.0,256,0.8
"[16, 16]",Tanh,50,10.0,512,0.6666666666666666
"[16, 16]",Tanh,50,1.0,16,0.7
"[16, 16]",Tanh,50,1.0,32,0.9333333333333333
"[16, 16]",Tanh,50,1.0,64,0.8333333333333334
"[16, 16]",Tanh,50,1.0,128,1.0
"[16, 16]",Tanh,50,1.0,256,0.9666666666666667
"[16, 16]",Tanh,50,1.0,512,1.0
"[16, 16]",Tanh,50,0.1,16,1.0
"[16, 16]",Tanh,50,0.1,32,1.0
"[16, 16]",Tanh,50,0.1,64,1.0
"[16, 16]",Tanh,50,0.1,128,1.0
"[16, 16]",Tanh,50,0.1,256,1.0
"[16, 16]",Tanh,50,0.1,512,1.0
"[16, 16]",Tanh,50,0.01,16,1.0
"[16, 16]",Tanh,50,0.01,32,1.0
"[16, 16]",Tanh,50,0.01,64,1.0
"[16, 16]",Tanh,50,0.01,128,1.0
"[16, 16]",Tanh,50,0.01,256,1.0
"[16, 16]",Tanh,50,0.01,512,1.0
"[16, 16]",Tanh,50,0.001,16,1.0
"[16, 16]",Tanh,50,0.001,32,1.0
"[16, 16]",Tanh,50,0.001,64,0.9333333333333333
"[16, 16]",Tanh,50,0.001,128,0.7666666666666667
"[16, 16]",Tanh,50,0.001,256,0.9333333333333333
"[16, 16]",Tanh,50,0.001,512,0.7666666666666667
"[16, 16]",Tanh,50,0.0001,16,0.8666666666666667
